Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational  Option Type","NSLP  Provision  Status","Charter  School  (Y/N)","Charter  School  Number","Charter  Funding  Type",IRC,Low Grade,High Grade,"Enrollment  (K-12)","Free Meal  Count  (K-12)","Percent (%)  Eligible Free  (K-12)","FRPM Count  (K-12)","Percent (%)  Eligible FRPM  (K-12)","Enrollment  (Ages 5-17)","Free Meal  Count  (Ages 5-17)","Percent (%)  Eligible Free  (Ages 5-17)","FRPM Count  (Ages 5-17)","Percent (%)  Eligible FRPM  (Ages 5-17)","2013-14  CALPADS Fall 1  Certification Status"
2014-2015,19,64485,1,Los Angeles,East Whittier City Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,7,0,0%,0,0%,7,0,0%,0,0%,Y
2014-2015,19,64485,6012975,Los Angeles,East Whittier City Elementary,Ceres Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,P,5,347,210,60.5%,265,76.4%,347,210,60.5%,265,76.4%,Y
2014-2015,19,64485,6012991,Los Angeles,East Whittier City Elementary,East Whittier Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,1287,534,41.5%,693,53.8%,1287,534,41.5%,693,53.8%,Y
2014-2015,19,64485,6013007,Los Angeles,East Whittier City Elementary,Evergreen Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,468,372,79.5%,419,89.5%,460,366,79.6%,413,89.8%,Y
2014-2015,19,64485,6013015,Los Angeles,East Whittier City Elementary,Granada Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,1087,383,35.2%,500,46%,1087,383,35.2%,500,46%,Y
2014-2015,19,64485,6013023,Los Angeles,East Whittier City Elementary,Hillview Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,676,373,55.2%,460,68%,676,373,55.2%,460,68%,Y
2014-2015,19,64485,6013031,Los Angeles,East Whittier City Elementary,La Colima Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,522,332,63.6%,387,74.1%,522,332,63.6%,387,74.1%,Y
2014-2015,19,64485,6013049,Los Angeles,East Whittier City Elementary,Laurel Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,713,409,57.4%,515,72.2%,713,409,57.4%,515,72.2%,Y
2014-2015,19,64485,6013072,Los Angeles,East Whittier City Elementary,Mulberry Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,620,386,62.3%,463,74.7%,594,377,63.5%,449,75.6%,Y
2014-2015,19,64485,6013080,Los Angeles,East Whittier City Elementary,Murphy Ranch Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,566,80,14.1%,100,17.7%,566,80,14.1%,100,17.7%,Y
2014-2015,19,64485,6013098,Los Angeles,East Whittier City Elementary,Ocean View Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,795,172,21.6%,244,30.7%,795,172,21.6%,244,30.7%,Y
2014-2015,19,64485,6013106,Los Angeles,East Whittier City Elementary,Orchard Dale Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,620,262,42.3%,341,55%,589,252,42.8%,329,55.9%,Y
2014-2015,19,64485,6013114,Los Angeles,East Whittier City Elementary,Scott Avenue Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,644,228,35.4%,291,45.2%,644,228,35.4%,291,45.2%,Y
2014-2015,19,64485,6089148,Los Angeles,East Whittier City Elementary,Leffingwell Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,652,157,24.1%,224,34.4%,652,157,24.1%,224,34.4%,Y
2014-2015,19,64501,6013130,Los Angeles,El Monte City,Cherrylee Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,443,327,73.8%,372,84%,443,327,73.8%,372,84%,Y
2014-2015,19,64501,6013148,Los Angeles,El Monte City,Cleminson Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,409,272,66.5%,306,74.8%,400,264,66%,298,74.5%,Y
2014-2015,19,64501,6013155,Los Angeles,El Monte City,Columbia Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,812,711,87.6%,775,95.4%,812,711,87.6%,775,95.4%,Y
2014-2015,19,64501,6013163,Los Angeles,El Monte City,Cortada Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,485,425,87.6%,467,96.3%,477,417,87.4%,459,96.2%,Y
2014-2015,19,64501,6013171,Los Angeles,El Monte City,Durfee Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,1059,844,79.7%,955,90.2%,1059,844,79.7%,955,90.2%,Y
2014-2015,19,64501,6013189,Los Angeles,El Monte City,Shirpser Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,613,584,95.3%,601,98%,602,577,95.8%,594,98.7%,Y
2014-2015,19,64501,6013197,Los Angeles,El Monte City,Gidley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,522,415,79.5%,474,90.8%,515,408,79.2%,467,90.7%,Y
2014-2015,19,64501,6013205,Los Angeles,El Monte City,Legore Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,517,437,84.5%,480,92.8%,506,427,84.4%,469,92.7%,Y
2014-2015,19,64501,6013221,Los Angeles,El Monte City,New Lexington Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,386,333,86.3%,367,95.1%,386,333,86.3%,367,95.1%,Y
2014-2015,19,64501,6013247,Los Angeles,El Monte City,Potrero Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,957,917,95.8%,943,98.5%,956,916,95.8%,942,98.5%,Y
2014-2015,19,64501,6013254,Los Angeles,El Monte City,Rio Hondo Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,850,567,66.7%,626,73.6%,839,562,67%,617,73.5%,Y
2014-2015,19,64501,6013262,Los Angeles,El Monte City,Rio Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,434,324,74.7%,379,87.3%,434,324,74.7%,379,87.3%,Y
2014-2015,19,64501,6013270,Los Angeles,El Monte City,Thompson Elementary,Elementary School District,Special Education Schools (Public),Special Education School,,N,,,N,K,8,42,29,69%,31,73.8%,42,29,69%,31,73.8%,Y
2014-2015,19,64501,6013288,Los Angeles,El Monte City,Wilkerson Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,538,489,90.9%,517,96.1%,530,482,90.9%,509,96%,Y
2014-2015,19,64501,6013296,Los Angeles,El Monte City,Wright Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,964,799,82.9%,887,92%,964,799,82.9%,887,92%,Y
2014-2015,19,64519,1,Los Angeles,El Monte Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,51,29,56.9%,31,60.8%,39,22,56.4%,24,61.5%,Y
2014-2015,19,64519,1930320,Los Angeles,El Monte Union High,Arroyo High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,2301,1743,75.7%,2027,88.1%,2228,1681,75.4%,1958,87.9%,Y
2014-2015,19,64519,1932664,Los Angeles,El Monte Union High,El Monte High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,1869,1639,87.7%,1817,97.2%,1807,1578,87.3%,1755,97.1%,Y
2014-2015,19,64519,1932680,Los Angeles,El Monte Union High,Mountain View High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,1477,1308,88.6%,1433,97%,1446,1277,88.3%,1402,97%,Y
2014-2015,19,64519,1937481,Los Angeles,El Monte Union High,Rosemead High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,1827,1252,68.5%,1575,86.2%,1700,1168,68.7%,1471,86.5%,Y
2014-2015,19,64519,1938919,Los Angeles,El Monte Union High,Fernando R. Ledesma Continuation High,High School District,Continuation High Schools,Continuation School,,N,,,N,10,12,397,345,86.9%,361,90.9%,327,294,89.9%,305,93.3%,Y
2014-2015,19,64519,1995661,Los Angeles,El Monte Union High,South El Monte High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,1425,1217,85.4%,1338,93.9%,1404,1196,85.2%,1317,93.8%,Y
2014-2015,19,64519,1996123,Los Angeles,El Monte Union High,El Monte Union High School Community Day,High School District,District Community Day Schools,Community Day School,,N,,,N,9,12,41,38,92.7%,38,92.7%,34,31,91.2%,31,91.2%,Y
2014-2015,19,64527,0,Los Angeles,El Rancho Unified,District Office,Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,P,Adult,25,14,56%,15,60%,23,14,60.9%,15,65.2%,Y
2014-2015,19,64527,1,Los Angeles,El Rancho Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,33,13,39.4%,14,42.4%,24,12,50%,13,54.2%,Y
2014-2015,19,64527,1932698,Los Angeles,El Rancho Unified,Ruben Salazar Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,160,98,61.3%,114,71.3%,126,74,58.7%,88,69.8%,Y
2014-2015,19,64527,1932706,Los Angeles,El Rancho Unified,El Rancho High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,2772,1723,62.2%,2147,77.5%,2663,1645,61.8%,2057,77.2%,Y
2014-2015,19,64527,6013304,Los Angeles,El Rancho Unified,Alice M. Birney Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,474,304,64.1%,378,79.7%,453,294,64.9%,362,79.9%,Y
2014-2015,19,64527,6013312,Los Angeles,El Rancho Unified,Durfee Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,441,304,68.9%,375,85%,426,290,68.1%,361,84.7%,Y
2014-2015,19,64527,6013338,Los Angeles,El Rancho Unified,Lawrence T. Magee Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,471,355,75.4%,428,90.9%,470,354,75.3%,427,90.9%,Y
2014-2015,19,64527,6013353,Los Angeles,El Rancho Unified,North Ranchito Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,477,373,78.2%,438,91.8%,475,371,78.1%,436,91.8%,Y
2014-2015,19,64527,6013379,Los Angeles,El Rancho Unified,Rio Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,440,295,67%,381,86.6%,439,295,67.2%,381,86.8%,Y
2014-2015,19,64527,6013387,Los Angeles,El Rancho Unified,Rivera Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,715,486,68%,589,82.4%,701,478,68.2%,579,82.6%,Y
2014-2015,19,64527,6013403,Los Angeles,El Rancho Unified,South Ranchito Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,571,444,77.8%,513,89.8%,554,435,78.5%,501,90.4%,Y
2014-2015,19,64527,6013411,Los Angeles,El Rancho Unified,Valencia Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,449,314,69.9%,384,85.5%,432,302,69.9%,370,85.6%,Y
2014-2015,19,64527,6057681,Los Angeles,El Rancho Unified,STEAM Academy @ Burke,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,560,364,65%,458,81.8%,560,364,65%,458,81.8%,Y
2014-2015,19,64527,6061287,Los Angeles,El Rancho Unified,North Park Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,762,558,73.2%,668,87.7%,762,558,73.2%,668,87.7%,Y
2014-2015,19,64527,6061295,Los Angeles,El Rancho Unified,Rivera Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,779,521,66.9%,640,82.2%,779,521,66.9%,640,82.2%,Y
2014-2015,19,64535,1930353,Los Angeles,El Segundo Unified,Arena High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,30,4,13.3%,5,16.7%,28,4,14.3%,5,17.9%,Y
2014-2015,19,64535,1932763,Los Angeles,El Segundo Unified,El Segundo High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1269,121,9.5%,169,13.3%,1224,114,9.3%,157,12.8%,Y
2014-2015,19,64535,6013429,Los Angeles,El Segundo Unified,Center Street Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,770,61,7.9%,72,9.4%,743,61,8.2%,72,9.7%,Y
2014-2015,19,64535,6013452,Los Angeles,El Segundo Unified,El Segundo Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,817,69,8.4%,91,11.1%,817,69,8.4%,91,11.1%,Y
2014-2015,19,64535,6116248,Los Angeles,El Segundo Unified,Richmond Street Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,591,32,5.4%,39,6.6%,580,32,5.5%,39,6.7%,Y
2014-2015,19,64550,1,Los Angeles,Garvey Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,12,12,100%,12,100%,12,12,100%,12,100%,Y
2014-2015,19,64550,6013510,Los Angeles,Garvey Elementary,Dewey Avenue Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,408,297,72.8%,339,83.1%,397,290,73%,329,82.9%,Y
2014-2015,19,64550,6013528,Los Angeles,Garvey Elementary,Rice (Eldridge) Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,509,373,73.3%,448,88%,509,373,73.3%,448,88%,Y
2014-2015,19,64550,6013536,Los Angeles,Garvey Elementary,Sanchez (George I.) Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,465,378,81.3%,423,91%,465,378,81.3%,423,91%,Y
2014-2015,19,64550,6013544,Los Angeles,Garvey Elementary,Willard (Frances E.) Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,487,369,75.8%,430,88.3%,476,361,75.8%,420,88.2%,Y
2014-2015,19,64550,6013551,Los Angeles,Garvey Elementary,Hillcrest Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,449,238,53%,278,61.9%,438,229,52.3%,267,61%,Y
2014-2015,19,64550,6013585,Los Angeles,Garvey Elementary,Monterey Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,476,304,63.9%,371,77.9%,476,304,63.9%,371,77.9%,Y
2014-2015,19,64550,6013593,Los Angeles,Garvey Elementary,Emerson (Ralph Waldo) Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,559,451,80.7%,517,92.5%,547,443,81%,506,92.5%,Y
2014-2015,19,64550,6013601,Los Angeles,Garvey Elementary,Garvey (Richard) Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,709,498,70.2%,582,82.1%,709,498,70.2%,582,82.1%,Y
2014-2015,19,64550,6101497,Los Angeles,Garvey Elementary,Temple (Roger W.) Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,446,342,76.7%,395,88.6%,446,342,76.7%,395,88.6%,Y
2014-2015,19,64550,6105886,Los Angeles,Garvey Elementary,Bitely (Arlene) Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,531,433,81.5%,476,89.6%,530,433,81.7%,476,89.8%,Y
2014-2015,19,64568,1,Los Angeles,Glendale Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,73,5,6.8%,5,6.8%,65,5,7.7%,5,7.7%,Y
2014-2015,19,64568,1932144,Los Angeles,Glendale Unified,Crescenta Valley High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,2693,290,10.8%,403,15%,2630,276,10.5%,386,14.7%,Y
2014-2015,19,64568,1933472,Los Angeles,Glendale Unified,Daily (Allan F.) High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,244,143,58.6%,165,67.6%,183,111,60.7%,128,69.9%,Y
2014-2015,19,64568,1933530,Los Angeles,Glendale Unified,Glendale High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,2582,1470,56.9%,1764,68.3%,2522,1429,56.7%,1719,68.2%,Y
2014-2015,19,64568,1934082,Los Angeles,Glendale Unified,Herbert Hoover High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1719,944,54.9%,1144,66.6%,1690,925,54.7%,1123,66.4%,Y
2014-2015,19,64568,1995497,Los Angeles,Glendale Unified,Verdugo Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,12,112,23,20.5%,25,22.3%,109,22,20.2%,24,22%,Y
2014-2015,19,64568,1996131,Los Angeles,Glendale Unified,Anderson W. Clark Magnet High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1130,466,41.2%,626,55.4%,1121,460,41%,620,55.3%,Y
2014-2015,19,64568,1996156,Los Angeles,Glendale Unified,Jewel City Community Day,Unified School District,District Community Day Schools,Community Day School,,N,,,N,7,10,4,3,75%,4,100%,4,3,75%,4,100%,Y
2014-2015,19,64568,6013619,Los Angeles,Glendale Unified,Balboa Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,743,326,43.9%,393,52.9%,724,322,44.5%,388,53.6%,Y
2014-2015,19,64568,6013627,Los Angeles,Glendale Unified,Cerritos Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,437,333,76.2%,377,86.3%,408,314,77%,355,87%,Y
2014-2015,19,64568,6013635,Los Angeles,Glendale Unified,Columbus Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,626,397,63.4%,487,77.8%,577,368,63.8%,453,78.5%,Y
2014-2015,19,64568,6013643,Los Angeles,Glendale Unified,Dunsmore Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,415,44,10.6%,59,14.2%,415,44,10.6%,59,14.2%,Y
2014-2015,19,64568,6013650,Los Angeles,Glendale Unified,Thomas Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,862,485,56.3%,587,68.1%,862,485,56.3%,587,68.1%,Y
2014-2015,19,64568,6013676,Los Angeles,Glendale Unified,Benjamin Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,636,119,18.7%,159,25%,634,119,18.8%,159,25.1%,Y
2014-2015,19,64568,6013684,Los Angeles,Glendale Unified,John C. Fremont Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,690,115,16.7%,156,22.6%,690,115,16.7%,156,22.6%,Y
2014-2015,19,64568,6013692,Los Angeles,Glendale Unified,Glenoaks Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,556,138,24.8%,177,31.8%,542,134,24.7%,171,31.5%,Y
2014-2015,19,64568,6013718,Los Angeles,Glendale Unified,Thomas Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,629,389,61.8%,486,77.3%,627,388,61.9%,485,77.4%,Y
2014-2015,19,64568,6013726,Los Angeles,Glendale Unified,Mark Keppel Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,998,295,29.6%,409,41%,997,294,29.5%,408,40.9%,Y
2014-2015,19,64568,6013734,Los Angeles,Glendale Unified,La Crescenta Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,503,101,20.1%,142,28.2%,491,98,20%,139,28.3%,Y
2014-2015,19,64568,6013742,Los Angeles,Glendale Unified,Abraham Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,474,75,15.8%,112,23.6%,474,75,15.8%,112,23.6%,Y
2014-2015,19,64568,6013767,Los Angeles,Glendale Unified,Horace Mann Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,678,563,83%,626,92.3%,663,551,83.1%,614,92.6%,Y
2014-2015,19,64568,6013775,Los Angeles,Glendale Unified,John Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,536,385,71.8%,457,85.3%,506,374,73.9%,438,86.6%,Y
2014-2015,19,64568,6013783,Los Angeles,Glendale Unified,Monte Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,694,48,6.9%,72,10.4%,694,48,6.9%,72,10.4%,Y
2014-2015,19,64568,6013809,Los Angeles,Glendale Unified,Mountain Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,555,47,8.5%,62,11.2%,555,47,8.5%,62,11.2%,Y
2014-2015,19,64568,6013817,Los Angeles,Glendale Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,848,558,65.8%,642,75.7%,829,549,66.2%,630,76%,Y
2014-2015,19,64568,6013825,Los Angeles,Glendale Unified,Valley View Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,406,39,9.6%,56,13.8%,380,35,9.2%,50,13.2%,Y
2014-2015,19,64568,6013833,Los Angeles,Glendale Unified,Verdugo Woodlands Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,818,128,15.6%,176,21.5%,816,128,15.7%,176,21.6%,Y
2014-2015,19,64568,6013841,Los Angeles,Glendale Unified,R. D. White Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,935,468,50.1%,574,61.4%,933,468,50.2%,574,61.5%,Y
2014-2015,19,64568,6057715,Los Angeles,Glendale Unified,Theodore Roosevelt Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,801,601,75%,691,86.3%,801,601,75%,691,86.3%,Y
2014-2015,19,64568,6057723,Los Angeles,Glendale Unified,Eleanor J. Toll Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,1156,616,53.3%,758,65.6%,1156,616,53.3%,758,65.6%,Y
2014-2015,19,64568,6061303,Los Angeles,Glendale Unified,Rosemont Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,1269,173,13.6%,250,19.7%,1269,173,13.6%,250,19.7%,Y
2014-2015,19,64568,6061311,Los Angeles,Glendale Unified,Woodrow Wilson Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,1183,561,47.4%,699,59.1%,1183,561,47.4%,699,59.1%,Y
2014-2015,19,64568,6099022,Los Angeles,Glendale Unified,College View,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,K,12,163,39,23.9%,47,28.8%,55,24,43.6%,29,52.7%,Y
2014-2015,19,64576,1,Los Angeles,Glendora Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,14,1,7.1%,1,7.1%,12,1,8.3%,1,8.3%,Y
2014-2015,19,64576,1933597,Los Angeles,Glendora Unified,Glendora High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,2597,409,15.7%,528,20.3%,2496,390,15.6%,505,20.2%,Y
2014-2015,19,64576,1939677,Los Angeles,Glendora Unified,Whitcomb Continuation High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,75,29,38.7%,35,46.7%,57,24,42.1%,29,50.9%,Y
2014-2015,19,64576,6013866,Los Angeles,Glendora Unified,Cullen Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,693,95,13.7%,132,19%,679,94,13.8%,129,19%,Y
2014-2015,19,64576,6013882,Los Angeles,Glendora Unified,La Fetra Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,770,157,20.4%,225,29.2%,760,157,20.7%,224,29.5%,Y
2014-2015,19,64576,6013908,Los Angeles,Glendora Unified,Sellers Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,627,70,11.2%,108,17.2%,627,70,11.2%,108,17.2%,Y
2014-2015,19,64576,6013916,Los Angeles,Glendora Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,571,280,49%,381,66.7%,560,275,49.1%,372,66.4%,Y
2014-2015,19,64576,6013924,Los Angeles,Glendora Unified,Sutherland Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,575,104,18.1%,132,23%,560,100,17.9%,125,22.3%,Y
2014-2015,19,64576,6057731,Los Angeles,Glendora Unified,Goddard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,915,99,10.8%,128,14%,915,99,10.8%,128,14%,Y
2014-2015,19,64576,6061329,Los Angeles,Glendora Unified,Sandburg Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,896,281,31.4%,385,43%,896,281,31.4%,385,43%,Y
2014-2015,19,64584,1996305,Los Angeles,Gorman Elementary,Gorman Learning Center,Elementary School District,K-12 Schools (Public),Traditional,,Y,285,Directly funded,Y,K,12,1947,476,24.4%,685,35.2%,1894,458,24.2%,660,34.8%,Y
2014-2015,19,64584,6013940,Los Angeles,Gorman Elementary,Gorman Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,103,50,48.5%,57,55.3%,101,49,48.5%,56,55.4%,Y
2014-2015,19,64592,1,Los Angeles,Hawthorne ,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,3,2,66.7%,2,66.7%,3,2,66.7%,2,66.7%,Y
2014-2015,19,64592,100354,Los Angeles,Hawthorne ,Hawthorne Math and Science Academy,Elementary School District,High Schools (Public),Traditional,Breakfast Provision 2,Y,523,Locally funded,N,9,12,565,373,66%,434,76.8%,559,370,66.2%,431,77.1%,Y
2014-2015,19,64592,6013957,Los Angeles,Hawthorne ,Eucalyptus,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,5,1040,826,79.4%,930,89.4%,1024,813,79.4%,915,89.4%,Y
2014-2015,19,64592,6013965,Los Angeles,Hawthorne ,Hawthorne Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,N,,,N,6,8,910,657,72.2%,738,81.1%,910,657,72.2%,738,81.1%,Y
2014-2015,19,64592,6013973,Los Angeles,Hawthorne ,Jefferson,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,5,592,462,78%,523,88.3%,577,452,78.3%,511,88.6%,Y
2014-2015,19,64592,6013981,Los Angeles,Hawthorne ,Ramona,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,5,741,465,62.8%,565,76.2%,740,464,62.7%,564,76.2%,Y
2014-2015,19,64592,6013999,Los Angeles,Hawthorne ,Washington,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,5,724,597,82.5%,658,90.9%,707,583,82.5%,643,90.9%,Y
2014-2015,19,64592,6014013,Los Angeles,Hawthorne ,York,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,5,629,513,81.6%,572,90.9%,607,494,81.4%,551,90.8%,Y
2014-2015,19,64592,6014021,Los Angeles,Hawthorne ,Bud Carson Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,N,,,N,6,8,758,604,79.7%,657,86.7%,758,604,79.7%,657,86.7%,Y
2014-2015,19,64592,6014039,Los Angeles,Hawthorne ,Zela Davis,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,5,1223,1032,84.4%,1118,91.4%,1207,1019,84.4%,1105,91.5%,Y
2014-2015,19,64592,6115265,Los Angeles,Hawthorne ,Prairie Vista Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,N,,,N,6,8,936,734,78.4%,809,86.4%,936,734,78.4%,809,86.4%,Y
